"Activity","Subject","Time.domain.Body.linear.acceleration.Mean.X.axis","Time.domain.Body.linear.acceleration.Mean.Y.axis","Time.domain.Body.linear.acceleration.Mean.Z.axis","Time.domain.Body.linear.acceleration.Standard.deviation.X.axis","Time.domain.Body.linear.acceleration.Standard.deviation.Y.axis","Time.domain.Body.linear.acceleration.Standard.deviation.Z.axis","Time.domain.Gravity.linear.acceleration.Mean.X.axis","Time.domain.Gravity.linear.acceleration.Mean.Y.axis","Time.domain.Gravity.linear.acceleration.Mean.Z.axis","Time.domain.Gravity.linear.acceleration.Standard.deviation.X.axis","Time.domain.Gravity.linear.acceleration.Standard.deviation.Y.axis","Time.domain.Gravity.linear.acceleration.Standard.deviation.Z.axis","Time.domain.Body.linear.acceleration.Jerk.Mean.X.axis","Time.domain.Body.linear.acceleration.Jerk.Mean.Y.axis","Time.domain.Body.linear.acceleration.Jerk.Mean.Z.axis","Time.domain.Body.linear.acceleration.Jerk.Standard.deviation.X.axis","Time.domain.Body.linear.acceleration.Jerk.Standard.deviation.Y.axis","Time.domain.Body.linear.acceleration.Jerk.Standard.deviation.Z.axis","Time.domain.Body.Gyroscope.Mean.X.axis","Time.domain.Body.Gyroscope.Mean.Y.axis","Time.domain.Body.Gyroscope.Mean.Z.axis","Time.domain.Body.Gyroscope.Standard.deviation.X.axis","Time.domain.Body.Gyroscope.Standard.deviation.Y.axis","Time.domain.Body.Gyroscope.Standard.deviation.Z.axis","Time.domain.Body.Gyroscope.Jerk.Mean.X.axis","Time.domain.Body.Gyroscope.Jerk.Mean.Y.axis","Time.domain.Body.Gyroscope.Jerk.Mean.Z.axis","Time.domain.Body.Gyroscope.Jerk.Standard.deviation.X.axis","Time.domain.Body.Gyroscope.Jerk.Standard.deviation.Y.axis","Time.domain.Body.Gyroscope.Jerk.Standard.deviation.Z.axis","Time.domain.Body.linear.acceleration.Euclidean.norm.Magnitude.Mean","Time.domain.Body.linear.acceleration.Euclidean.norm.Magnitude.Standard.deviation","Time.domain.Gravity.linear.acceleration.Euclidean.norm.Magnitude.Mean","Time.domain.Gravity.linear.acceleration.Euclidean.norm.Magnitude.Standard.deviation","Time.domain.Body.linear.acceleration.Jerk.Euclidean.norm.Magnitude.Mean","Time.domain.Body.linear.acceleration.Jerk.Euclidean.norm.Magnitude.Standard.deviation","Time.domain.Body.Gyroscope.Euclidean.norm.Magnitude.Mean","Time.domain.Body.Gyroscope.Euclidean.norm.Magnitude.Standard.deviation","Time.domain.Body.Gyroscope.Jerk.Euclidean.norm.Magnitude.Mean","Time.domain.Body.Gyroscope.Jerk.Euclidean.norm.Magnitude.Standard.deviation","Fast.Fourier.Transformed.Body.linear.acceleration.Mean.X.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Mean.Y.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Mean.Z.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Standard.deviation.X.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Standard.deviation.Y.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Standard.deviation.Z.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Mean.X.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Mean.Y.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Mean.Z.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Standard.deviation.X.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Standard.deviation.Y.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Standard.deviation.Z.axis","Fast.Fourier.Transformed.Body.Gyroscope.Mean.X.axis","Fast.Fourier.Transformed.Body.Gyroscope.Mean.Y.axis","Fast.Fourier.Transformed.Body.Gyroscope.Mean.Z.axis","Fast.Fourier.Transformed.Body.Gyroscope.Standard.deviation.X.axis","Fast.Fourier.Transformed.Body.Gyroscope.Standard.deviation.Y.axis","Fast.Fourier.Transformed.Body.Gyroscope.Standard.deviation.Z.axis","Fast.Fourier.Transformed.Body.linear.acceleration.Euclidean.norm.Magnitude.Mean","Fast.Fourier.Transformed.Body.linear.acceleration.Euclidean.norm.Magnitude.Standard.deviation","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Euclidean.norm.Magnitude.Mean","Fast.Fourier.Transformed.Body.linear.acceleration.Jerk.Euclidean.norm.Magnitude.Standard.deviation","Fast.Fourier.Transformed.Body.Gyroscope.Euclidean.norm.Magnitude.Mean","Fast.Fourier.Transformed.Body.Gyroscope.Euclidean.norm.Magnitude.Standard.deviation","Fast.Fourier.Transformed.Body.Gyroscope.Jerk.Euclidean.norm.Magnitude.Mean","Fast.Fourier.Transformed.Body.Gyroscope.Jerk.Euclidean.norm.Magnitude.Standard.deviation","Angle.of.Time.domain.Body.linear.acceleration.Mean.and.Gravity","Angle.of.Time.domain.Body.linear.acceleration.Jerk.Mean.and.Gravity.Mean","Angle.of.Time.domain.Body.Gyroscope.Mean.and.Gravity.Mean","Angle.of.Time.domain.Body.Gyroscope.Jerk.Mean.and.Gravity.Mean","Angle.of.X.axis.and.Gravity.Mean","Angle.of.Y.axis.and.Gravity.Mean","Angle.of.Z.axis.and.Gravity.Mean"
"SITTING",1,0.2731084,0.0065181116,-0.10947182,-0.99078294,-0.93506515,-0.99072156,0.87653997,0.12558056,0.32520586,-0.97677857,-0.91534904,-0.99164161,0.084520112,-0.018946735,0.0076682065,-0.99051461,-0.99076345,-0.99205386,-0.14933808,-0.10757556,-0.28657183,-0.94503475,-0.98871206,-0.83657336,-0.060468253,-0.047491065,0.053835275,-0.99831777,-0.99404793,-0.99635394,-0.96816289,-0.94767986,-0.96816289,-0.94767986,-0.9923627,-0.99272934,-0.78814522,-0.82768948,-0.99529654,-0.99563264,-0.98981469,-0.95409312,-0.99134764,-0.99110846,-0.92953745,-0.99012132,-0.99075219,-0.99066458,-0.99097901,-0.99105092,-0.99155239,-0.99158121,-0.94008916,-0.989201,-0.83844239,-0.94678149,-0.98838593,-0.85070435,-0.96858175,-0.94488385,-0.99263806,-0.99098543,-0.87774284,-0.82666953,-0.99561812,-0.9955675,-0.033284006,-0.19260855,0.61787351,-0.51240546,-0.65078203,-0.0030485384,-0.21119617
"SITTING",1,0.14450396,0.18926326,0.062769317,-0.90429967,-0.18193654,-0.44315051,0.87409866,0.042479149,0.33309449,-0.81418938,-0.25461649,-0.34244329,0.13805762,-0.34777099,-0.33527233,-0.98122357,-0.96614228,-0.98349118,-0.046489666,-0.28289794,0.22948437,-0.9733557,-0.97220339,-0.9171989,-0.11571413,-0.066663019,0.01633599,-0.98520162,-0.98666522,-0.98196657,-0.5543692,-0.18717165,-0.5543692,-0.18717165,-0.97526798,-0.97133698,-0.8738801,-0.96976795,-0.99023484,-0.9801139,-0.92128754,-0.43277861,-0.61401743,-0.89802907,-0.12526373,-0.40381329,-0.98209043,-0.96914184,-0.9815657,-0.98187701,-0.96489086,-0.98385314,-0.967536,-0.9690438,-0.89992251,-0.97513158,-0.97447678,-0.93123209,-0.44662992,-0.19941645,-0.97565857,-0.96429842,-0.97506987,-0.97112442,-0.98331724,-0.9772135,0.013525973,0.043354353,0.021485361,0.046689153,-0.66708465,0.054216165,-0.21887457
"SITTING",1,0.28725164,-0.037455064,-0.14597431,-0.98291504,-0.89160489,-0.94143811,0.83566368,0.16067501,0.39982173,-0.96038769,-0.89611252,-0.91088155,0.089548399,-0.034317974,0.0030597368,-0.99243453,-0.98825647,-0.99383772,-0.04840838,-0.23917386,0.24705037,-0.99422554,-0.97536842,-0.9688802,-0.094242126,-0.022414444,-0.06697056,-0.99703744,-0.99794847,-0.99666202,-0.93459377,-0.93195422,-0.93459377,-0.93195422,-0.99288968,-0.99458511,-0.89520271,-0.95274453,-0.99808771,-0.99875192,-0.98612352,-0.9319656,-0.97975316,-0.9814758,-0.88046372,-0.9286557,-0.99252438,-0.98909638,-0.99178965,-0.99298662,-0.98798979,-0.99462142,-0.9938543,-0.97978496,-0.97820971,-0.99427314,-0.97297426,-0.96880151,-0.95362658,-0.93096339,-0.99476974,-0.99278695,-0.96970623,-0.95058339,-0.99858976,-0.99876688,0.19473475,-0.14805562,0.033529451,-0.12702787,-0.56480737,-0.027044798,-0.26605456
"SITTING",1,0.2799976,-0.019484036,-0.10572355,-0.99281839,-0.94035041,-0.98149266,0.83695957,0.15187734,0.38646765,-0.98263913,-0.94642426,-0.96440037,0.071215441,0.044244119,0.020358157,-0.9946122,-0.99291965,-0.99189025,-0.039411936,-0.16674787,0.18301929,-0.99564427,-0.97823105,-0.96663998,-0.095291208,-0.026020031,-0.078193929,-0.99807729,-0.99817308,-0.99835245,-0.97699498,-0.97105963,-0.97699498,-0.97105963,-0.99423479,-0.99452938,-0.94096567,-0.95416523,-0.99886254,-0.9991864,-0.99293691,-0.95749137,-0.98337133,-0.9926239,-0.9352808,-0.98084231,-0.99433646,-0.99333255,-0.99017788,-0.9954535,-0.99285842,-0.99217735,-0.99528558,-0.98342481,-0.96993296,-0.99568476,-0.97548568,-0.96842315,-0.97670695,-0.9712139,-0.99398527,-0.99407461,-0.96972021,-0.95245005,-0.99897315,-0.99932551,-0.22868834,-0.097214562,0.024191641,0.0063291237,-0.57936742,-0.021566893,-0.2575301
"SITTING",1,0.22184689,0.034107675,-0.12361242,-0.81470826,-0.749418,-0.57189889,0.83878762,0.15070183,0.38345181,-0.99203824,-0.96233892,-0.96232958,-0.013591322,0.12068585,0.22870415,-0.88383041,-0.85460677,-0.91135086,-0.037731641,0.021333829,0.076579313,-0.73087388,-0.49964946,-0.56901637,-0.016521407,-0.065023681,-0.15063907,-0.89380459,-0.88147183,-0.85853561,-0.81575864,-0.50812531,-0.81575864,-0.50812531,-0.91387886,-0.81597791,-0.68190845,-0.27136454,-0.9175591,-0.83220576,-0.80764453,-0.76550533,-0.67628885,-0.81740855,-0.75605135,-0.55205838,-0.88214836,-0.85881998,-0.90403706,-0.8964778,-0.85985543,-0.91690502,-0.74866144,-0.69737845,-0.65352471,-0.73003425,-0.41291791,-0.58390665,-0.61264851,-0.53386872,-0.86032147,-0.76927158,-0.60433533,-0.22046404,-0.87086437,-0.80216905,0.17922318,0.077594975,0.05634828,-0.31672663,-0.58280626,-0.020755925,-0.25526977
"SITTING",1,-0.041701306,0.17510248,0.025551778,-0.75839283,-0.58653735,-0.43911019,0.81080506,0.19559534,0.38713197,-0.80474333,-0.73280728,-0.84969761,0.050456562,0.090830365,0.0053317431,-0.85803037,-0.84002483,-0.8962204,-0.0038232806,0.019187316,-0.050212092,-0.72058157,-0.48896854,-0.50932463,-0.095521677,-0.067817006,-0.040522627,-0.88630796,-0.87419654,-0.84808876,-0.50739668,-0.49055481,-0.50739668,-0.49055481,-0.86678801,-0.83897844,-0.59287987,-0.35701417,-0.88878839,-0.85172027,-0.81335631,-0.70656744,-0.70433301,-0.73954717,-0.5594663,-0.3690514,-0.8667756,-0.84357581,-0.89207213,-0.86126158,-0.84714569,-0.89848012,-0.77404985,-0.6872257,-0.68464064,-0.71281525,-0.40157813,-0.50884639,-0.68219367,-0.4881476,-0.85131788,-0.82288377,-0.65163072,-0.3117463,-0.87238357,-0.83747045,0.11475995,0.11443621,-0.07078246,-0.0014609828,-0.5529392,-0.053538987,-0.26042439
"SITTING",1,0.013903671,0.15329608,0.016242945,-0.80863778,-0.57274619,-0.62641542,0.70308608,0.31406786,0.43977403,-0.59632839,-0.53455402,-0.64299102,0.17843808,-0.11966443,-0.25914034,-0.92242832,-0.93646888,-0.95518789,-0.0045972195,-0.15669611,0.060405191,-0.92572959,-0.89701675,-0.72055919,-0.18174043,-0.014079617,0.047204388,-0.9636738,-0.95824501,-0.9490345,-0.62102725,-0.48451097,-0.62102725,-0.48451097,-0.94302661,-0.91068062,-0.85361742,-0.81063604,-0.9660986,-0.9471408,-0.85010909,-0.76166325,-0.72770498,-0.79420134,-0.52521634,-0.6046235,-0.92109636,-0.93762977,-0.94925418,-0.93108771,-0.93956888,-0.95970531,-0.88630279,-0.91679646,-0.78006986,-0.93920178,-0.88702317,-0.72890522,-0.69185852,-0.47811404,-0.91377977,-0.90566871,-0.85722556,-0.81369615,-0.94761761,-0.94961434,-0.0049131687,0.033987522,-0.036067731,0.20511256,-0.41836808,-0.14254902,-0.30588383
"SITTING",1,0.30368927,-0.0042428053,-0.15085028,-0.95650333,-0.83867155,-0.94300953,0.6182581,0.40950272,0.4812985,-0.90544971,-0.85046281,-0.91527246,0.098998778,-0.074612565,-0.0073366086,-0.98969999,-0.98115962,-0.99574605,-0.042681542,-0.15263343,0.20315388,-0.99621609,-0.97820247,-0.97771988,-0.10305335,-0.011939118,-0.062791658,-0.99592893,-0.98907867,-0.99323089,-0.91595384,-0.89361999,-0.91595384,-0.89361999,-0.99107291,-0.98994373,-0.93617751,-0.96711724,-0.99314699,-0.98932118,-0.9677791,-0.87902803,-0.98069583,-0.95235854,-0.82955267,-0.93038551,-0.98835635,-0.98103161,-0.99519463,-0.99249781,-0.98267927,-0.99473074,-0.9939928,-0.97374029,-0.98158671,-0.99699378,-0.98157382,-0.97832539,-0.90549594,-0.90262603,-0.99033636,-0.98782658,-0.96910523,-0.97115637,-0.98956557,-0.98918242,-0.012337932,0.09462246,0.029126625,-0.13424521,-0.30588411,-0.21333904,-0.33700092
"SITTING",1,0.29075969,-0.02403476,-0.11673889,-0.97737449,-0.96384053,-0.96250503,0.6220655,0.41986657,0.46862799,-0.95196097,-0.96299035,-0.94159828,0.062975489,0.03415889,0.033170611,-0.99358012,-0.99102301,-0.9989028,-0.041556713,-0.11325798,0.1566043,-0.99813599,-0.99054256,-0.97702357,-0.095537878,-0.035066258,-0.068364914,-0.99918853,-0.99412613,-0.99735654,-0.97480504,-0.9566084,-0.97480504,-0.9566084,-0.99684513,-0.99590981,-0.96385423,-0.97509882,-0.99679493,-0.99571251,-0.98339322,-0.97465043,-0.97488987,-0.974984,-0.96006561,-0.95783963,-0.99375401,-0.99063849,-0.99841352,-0.99392194,-0.99220246,-0.99787899,-0.9980739,-0.9912576,-0.98090949,-0.99808887,-0.99006757,-0.97768507,-0.96861566,-0.95600866,-0.99554762,-0.99517066,-0.98475673,-0.9733614,-0.9958058,-0.9954641,0.096193097,-0.13137498,0.07763988,-0.037327157,-0.30919487,-0.22111662,-0.32645795
"SITTING",1,0.27090823,-0.014412968,-0.10652245,-0.99385604,-0.9931787,-0.9934703,0.62745102,0.41503721,0.46423103,-0.98694934,-0.99214128,-0.98848719,0.075591498,0.011694892,-0.0072211967,-0.99740715,-0.99211449,-0.99739047,-0.035457677,-0.091001714,0.11779396,-0.99673098,-0.99424221,-0.98667882,-0.095751535,-0.036409127,-0.065751415,-0.99879597,-0.99464491,-0.99681566,-0.99523836,-0.99550157,-0.99523836,-0.99550157,-0.99763638,-0.99785691,-0.98430476,-0.98688986,-0.99703141,-0.99591487,-0.99597643,-0.99340829,-0.99489744,-0.99282051,-0.99235834,-0.99211813,-0.99732906,-0.99224316,-0.99601381,-0.99773605,-0.99249266,-0.9974402,-0.99696281,-0.99334008,-0.98624004,-0.99658723,-0.99485993,-0.98790654,-0.99683806,-0.99428267,-0.99778629,-0.99658205,-0.991537,-0.98593044,-0.99608502,-0.99554573,0.064398152,0.30092387,0.11765544,-0.046454587,-0.3167322,-0.21772934,-0.32332877
"SITTING",1,0.2795534,-0.017001147,-0.11051668,-0.99607594,-0.99578152,-0.99822168,0.62532313,0.41648854,0.46494774,-0.99505769,-0.9965211,-0.99381054,0.072773826,0.0035293806,-0.00060033363,-0.99646841,-0.99119252,-0.99673754,-0.030919137,-0.074625079,0.094283835,-0.99909646,-0.99291725,-0.99092483,-0.096390151,-0.03903317,-0.061621011,-0.99873284,-0.99459335,-0.99532203,-0.99906744,-0.99906531,-0.99906744,-0.99906531,-0.99661376,-0.99756977,-0.99388844,-0.9937742,-0.99658655,-0.99598442,-0.99612732,-0.99272576,-0.99818451,-0.99594084,-0.99697932,-0.99748962,-0.99670618,-0.99155288,-0.99688883,-0.9964667,-0.99132658,-0.99494922,-0.99872231,-0.99296995,-0.99091693,-0.99920566,-0.9928408,-0.99161487,-0.99835502,-0.99914369,-0.99779214,-0.99581104,-0.99410838,-0.99442573,-0.99603174,-0.99580097,-0.0081442943,0.55931755,0.14252698,-0.016025225,-0.31457502,-0.2189352,-0.32398842
"SITTING",1,0.27635864,-0.016138088,-0.10803259,-0.99557733,-0.99454385,-0.99454372,0.62577398,0.4168573,0.46439573,-0.99616079,-0.99837049,-0.9954126,0.076218027,0.0094053857,-0.0080907158,-0.99488413,-0.99050354,-0.99724301,-0.028201987,-0.072296089,0.084889322,-0.99834012,-0.99422482,-0.99602129,-0.09732419,-0.042724214,-0.056653466,-0.99860547,-0.99482467,-0.99451645,-0.9980118,-0.9955942,-0.9980118,-0.9955942,-0.99594417,-0.99763017,-0.99663124,-0.99631676,-0.99648651,-0.99617057,-0.99529816,-0.99169066,-0.99619448,-0.99560896,-0.99562919,-0.99296166,-0.99502795,-0.99064115,-0.99663253,-0.99514544,-0.99098612,-0.99632589,-0.99794548,-0.99445974,-0.99484406,-0.99842318,-0.99402078,-0.99684885,-0.99642627,-0.99473344,-0.99760323,-0.99632383,-0.99582391,-0.99733499,-0.99596914,-0.99636766,-0.074261928,0.32451133,0.16126969,0.19214051,-0.31488562,-0.21916689,-0.32348431
"SITTING",1,0.23715407,0.0078251224,-0.12283791,-0.97995358,-0.86619341,-0.96829047,0.89093772,0.11359108,0.33032214,-0.93882287,-0.87952195,-0.96472588,0.075301588,0.082650327,-0.0089599647,-0.98434397,-0.97182661,-0.98618311,-0.22503946,-0.13315886,-0.59416576,-0.95390955,-0.97297342,-0.84095619,-0.076136273,-0.023511625,0.048746095,-0.99218252,-0.99252142,-0.99244534,-0.92623334,-0.94594716,-0.92623334,-0.94594716,-0.98365142,-0.97954382,-0.62607513,-0.83659935,-0.99269133,-0.99356814,-0.98333264,-0.89914658,-0.97708524,-0.97845261,-0.85859152,-0.96490936,-0.98365156,-0.96959332,-0.98323096,-0.98664266,-0.97707565,-0.98784088,-0.95825574,-0.9788201,-0.84816728,-0.95333014,-0.96989231,-0.85297934,-0.9452631,-0.95362659,-0.9795682,-0.97790115,-0.88993038,-0.83292149,-0.9936382,-0.99346944,0.32125029,-0.050327903,0.58427998,-0.42619826,-0.65435613,0.0061411057,-0.21275283
"SITTING",2,0.27625455,-0.016985093,-0.10885324,-0.99639413,-0.98567065,-0.98354536,0.957125,-0.11843093,0.17257908,-0.99902145,-0.997234,-0.99413399,0.077142483,0.017151419,-0.0013815426,-0.99658085,-0.98474296,-0.99069383,-0.028386406,-0.075428757,0.084448765,-0.99441796,-0.98896745,-0.98331636,-0.095803874,-0.044492057,-0.050073195,-0.993369,-0.99440543,-0.99094466,-0.99231876,-0.99087672,-0.99231876,-0.99087672,-0.9921557,-0.9925433,-0.99096518,-0.98549334,-0.99491005,-0.99348714,-0.99621964,-0.98289752,-0.98570956,-0.9963833,-0.98714547,-0.98255398,-0.99641164,-0.98382667,-0.98815825,-0.99710634,-0.98713525,-0.99198694,-0.9915615,-0.98983461,-0.98371747,-0.99537599,-0.98841329,-0.98453327,-0.98949844,-0.99239429,-0.99091427,-0.99419735,-0.98899962,-0.9853784,-0.99417563,-0.99255979,0.7306848,-0.11662507,0.46345912,-0.4149203,-0.81236543,0.16457484,-0.098686839
"SITTING",1,0.28150539,-0.018434859,-0.11139287,-0.99546804,-0.98433022,-0.99099514,0.87482213,0.14006721,0.32441057,-0.99404779,-0.98811386,-0.99610975,0.082081964,-0.0058534975,0.0032024153,-0.99447393,-0.99227559,-0.99127045,-0.079366112,-0.094869929,-0.040538466,-0.96234359,-0.98868112,-0.90097784,-0.074240872,-0.03881165,0.0044609208,-0.99784305,-0.99528855,-0.99621464,-0.99295106,-0.99577426,-0.99295106,-0.99577426,-0.9934185,-0.99521943,-0.92159819,-0.8924004,-0.99658889,-0.99663743,-0.99443506,-0.9848406,-0.99008845,-0.9959233,-0.98392125,-0.99145955,-0.99449871,-0.99273746,-0.99029847,-0.99492506,-0.99219621,-0.99066655,-0.96068647,-0.99124222,-0.91150016,-0.96305174,-0.98722279,-0.90654805,-0.99597166,-0.99538682,-0.99454495,-0.994891,-0.93017017,-0.88862055,-0.99665915,-0.99642101,-0.14377558,-0.23515452,0.6898658,-0.57356057,-0.64514606,-0.013061244,-0.21042962
